p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.03,0.12,0.12,12,2,-6.68,-1.33,-0.042,-29.59,238,65.13,94.34,-184.23,238,96.7
vwap_reclaim,30,0.02,0.03,0.12,0.12,12,3,-8.75,-1.75,-0.019,-41.67,243,63.79,125.1,-230.29,243,98.8
vwap_reclaim,30,0.02,0.03,0.12,0.12,14,1,1.98,0.38,0.09,-14.48,214,63.08,62.68,-104.61,214,87.0
vwap_reclaim,30,0.02,0.03,0.12,0.12,14,2,-3.42,-0.67,0.009,-29.27,243,65.43,95.06,-184.01,243,98.8
vwap_reclaim,30,0.02,0.03,0.12,0.12,14,3,3.37,0.64,0.121,-35.56,246,65.45,125.01,-232.83,246,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.12,16,1,1.31,0.25,0.071,-14.53,221,62.44,61.81,-101.19,221,89.8
vwap_reclaim,30,0.02,0.03,0.12,0.12,16,2,-4.23,-0.83,-0.005,-29.35,244,65.16,95.8,-184.18,244,99.2
vwap_reclaim,30,0.02,0.03,0.12,0.12,16,3,4.19,0.8,0.13,-35.99,246,65.85,125.52,-237.08,246,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.15,12,1,-1.08,-0.21,0.003,-15.49,203,62.56,63.02,-106.73,203,82.5
vwap_reclaim,30,0.02,0.03,0.12,0.15,12,2,-7.38,-1.47,-0.049,-31.61,238,65.13,94.34,-185.07,238,96.7
vwap_reclaim,30,0.02,0.03,0.12,0.15,12,3,-8.36,-1.67,0.0,-46.1,243,63.79,125.1,-229.84,243,98.8
vwap_reclaim,30,0.02,0.03,0.12,0.15,14,1,1.98,0.38,0.09,-14.48,214,63.08,62.68,-104.61,214,87.0
