p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,5,0.12,0.2,28.0,False,207.13,6.68,0.827,-15.21,103,64.08,667.48,-630.83
0.5,1,0.05,0.03,5,0.12,0.2,32.0,True,184.18,6.2,0.789,-12.53,83,63.86,657.43,-547.53
0.5,1,0.05,0.03,5,0.12,0.2,32.0,False,230.29,7.12,0.767,-23.51,117,64.96,669.19,-678.77
0.5,1,0.05,0.03,5,0.12,0.2,,True,206.25,6.66,0.839,-13.28,79,68.35,661.75,-604.37
0.5,1,0.05,0.03,5,0.12,0.2,,False,354.87,9.12,0.709,-34.54,134,76.12,720.96,-1189.08
0.5,1,0.05,0.03,5,0.15,0.12,25.0,True,160.42,5.67,0.643,-19.48,82,51.22,787.1,-425.4
0.5,1,0.05,0.03,5,0.15,0.12,25.0,False,149.54,5.41,0.559,-21.71,98,51.02,763.53,-483.8
0.5,1,0.05,0.03,5,0.15,0.12,28.0,True,190.63,6.34,0.818,-12.03,86,54.65,802.25,-478.02
0.5,1,0.05,0.03,5,0.15,0.12,28.0,False,211.86,6.77,0.822,-18.53,110,55.45,805.4,-570.27
0.5,1,0.05,0.03,5,0.15,0.12,32.0,True,217.02,6.87,0.88,-11.99,86,58.14,801.79,-510.78
0.5,1,0.05,0.03,5,0.15,0.12,32.0,False,243.0,7.36,0.804,-22.54,132,55.3,794.79,-571.52
0.5,1,0.05,0.03,5,0.15,0.12,,True,215.64,6.84,0.826,-14.68,86,59.3,802.11,-552.66
0.5,1,0.05,0.03,5,0.15,0.12,,False,346.5,9.0,0.709,-30.27,158,61.39,850.69,-784.7
0.5,1,0.05,0.03,5,0.15,0.15,25.0,True,157.53,5.6,0.628,-19.48,79,51.9,786.95,-434.52
0.5,1,0.05,0.03,5,0.15,0.15,25.0,False,151.61,5.46,0.555,-21.71,92,52.17,763.29,-488.11
