p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.03,0.12,0.12,12,3,20.21,3.62,0.43,-20.08,165,64.85,109.09,-166.4,165,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.12,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,30,0.02,0.03,0.12,0.12,14,2,14.03,2.57,0.419,-14.89,164,65.85,78.97,-127.24,164,99.4
vwap_reclaim,30,0.02,0.03,0.12,0.12,14,3,23.84,4.22,0.491,-20.11,165,65.45,110.77,-168.07,165,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.12,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,30,0.02,0.03,0.12,0.12,16,2,12.9,2.37,0.368,-17.59,164,65.85,81.41,-133.96,164,99.4
vwap_reclaim,30,0.02,0.03,0.12,0.12,16,3,22.36,3.98,0.452,-21.22,165,66.06,109.65,-173.51,165,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.15,12,1,4.44,0.84,0.232,-5.27,130,62.31,48.81,-71.62,130,78.8
vwap_reclaim,30,0.02,0.03,0.12,0.15,12,2,17.94,3.24,0.576,-10.72,162,65.43,79.06,-117.61,162,98.2
vwap_reclaim,30,0.02,0.03,0.12,0.15,12,3,21.61,3.85,0.485,-18.93,165,64.85,109.09,-164.0,165,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.15,14,1,5.8,1.1,0.292,-6.08,139,61.87,48.96,-68.49,139,84.2
vwap_reclaim,30,0.02,0.03,0.12,0.15,14,2,18.8,3.39,0.595,-10.75,164,65.85,78.97,-118.71,164,99.4
vwap_reclaim,30,0.02,0.03,0.12,0.15,14,3,25.23,4.44,0.55,-18.96,165,65.45,110.77,-165.62,165,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.15,16,1,1.77,0.34,0.1,-10.18,146,60.27,48.09,-69.92,146,88.5
vwap_reclaim,30,0.02,0.03,0.12,0.15,16,2,17.68,3.2,0.525,-13.48,164,65.85,81.41,-125.43,164,99.4
